	num_fel_arrests_last_year	current_charge_felony
1399	1	0
198	0	0
6281	0	0
3148	0	1
2732	0	0
6001	0	0
1363	0	0
1679	0	0
6051	0	1
3804	0	1
1401	0	0
5426	0	0
5531	0	0
154	0	0
2503	1	0
1946	0	0
2886	0	1
4950	0	1
3489	0	0
1653	0	0
3598	0	0
4163	0	0
3763	0	1
4430	1	1
1158	1	1
2695	2	1
4419	0	0
827	0	0
1353	0	0
3396	0	0
2060	0	0
1157	0	0
5914	0	0
801	0	1
109	1	1
2050	0	1
5444	0	0
1761	0	0
4331	0	0
6412	0	0
2518	0	0
1945	0	0
1731	0	1
3438	0	0
6145	1	1
2891	0	0
2579	0	0
4149	0	1
89	0	0
5329	0	0
4711	2	1
5550	0	0
5756	1	0
2261	0	0
3389	6	0
4429	1	0
2516	0	0
1830	0	0
2600	0	0
5813	0	0
1855	0	1
880	0	0
664	3	1
2094	0	0
4574	0	0
1263	0	0
4686	0	0
1186	0	0
247	0	0
3052	0	0
4960	1	0
824	2	0
2272	0	0
6395	1	0
2422	2	1
3859	0	0
2804	0	1
1276	0	0
4500	0	0
5711	0	0
2609	0	1
4104	1	0
2655	0	1
4477	0	0
4228	0	0
3941	0	0
2934	0	0
379	0	0
4444	1	1
5545	0	0
16	0	0
3951	1	0
3464	0	0
1610	0	0
3340	1	0
19	0	0
4593	0	0
3219	0	1
2405	1	0
6264	0	0
1951	0	0
4360	3	0
2284	3	0
5561	2	0
3344	0	1
3776	0	0
5328	0	0
5397	0	0
5146	3	1
2037	0	1
2086	0	1
3817	0	0
3295	0	0
1544	0	0
3247	0	0
2665	0	0
384	1	1
4590	0	1
4789	0	1
553	0	0
3625	8	0
847	0	0
5392	0	0
6472	0	0
1116	0	0
201	0	0
4096	0	0
170	0	1
6404	0	0
798	0	0
5459	0	0
3196	0	0
1308	0	0
4171	0	0
1931	0	1
205	0	0
2763	0	0
736	0	0
2328	0	1
4699	0	1
6090	1	0
2109	0	0
1664	0	0
5940	0	0
3659	2	0
20	0	0
5016	0	0
2645	0	0
871	0	0
5422	0	0
3599	4	0
4278	0	0
5825	0	0
6437	0	0
2436	0	1
4847	0	0
5716	0	0
2749	2	0
2357	0	0
5331	0	0
6144	0	1
550	0	0
3650	0	0
6086	0	0
1	0	0
1778	1	1
4837	0	0
3287	0	0
1600	0	0
3690	0	0
3362	0	0
1669	0	0
2796	0	0
5615	2	1
1119	0	0
2171	0	0
6372	1	0
840	0	0
4872	0	0
3634	0	0
4417	0	0
5061	0	0
2569	2	0
4327	3	0
3156	2	0
2685	1	1
3064	1	0
3833	0	0
325	0	0
4214	0	0
6242	0	0
5409	0	1
3794	0	0
5177	0	0
3602	0	0
881	1	0
4614	0	0
2942	2	1
2141	0	0
6016	0	0
2509	0	1
1290	0	1
2563	0	0
2079	0	0
913	1	0
3868	0	0
4490	0	0
2116	0	0
26	0	0
4227	1	1
2658	0	0
4857	0	0
4143	0	0
4892	0	0
2648	0	0
1636	0	0
4911	0	0
4052	0	1
1518	2	1
1374	3	0
6248	0	0
4713	0	0
895	0	1
2363	0	0
4903	0	0
3229	1	1
5193	0	0
6460	1	0
1404	0	1
4923	0	0
2474	3	0
5151	0	0
3855	0	0
5997	1	0
4002	1	1
5653	0	0
6231	1	0
4517	0	0
1330	0	1
4687	1	0
3802	0	0
3936	0	0
3750	0	0
12	0	0
3299	0	0
3751	0	0
2084	0	0
6134	0	0
683	0	0
5120	0	0
3224	0	0
1128	1	0
2393	0	0
5625	0	0
2904	0	0
724	0	0
3133	1	1
5345	0	0
2817	2	1
1972	0	0
6196	0	0
505	1	0
6474	0	0
4401	0	0
5972	1	1
3374	0	0
2755	0	0
4967	1	0
2798	0	1
5364	0	0
6125	0	0
4410	1	1
1347	0	0
4284	0	1
2292	0	0
6236	1	1
4679	0	1
5729	0	0
4882	0	0
3289	0	0
1436	0	0
3309	0	0
4202	2	1
2870	0	0
3764	0	0
2970	0	0
4071	0	0
4668	1	0
3533	1	1
4547	0	0
3226	0	0
1819	1	1
5431	0	0
1033	0	0
725	0	0
122	0	0
294	0	0
4030	0	0
4428	1	1
1886	0	0
4113	0	0
1254	0	0
1148	0	0
1708	0	0
4176	0	0
2811	0	0
3255	0	0
5594	0	0
1579	0	0
887	0	0
6334	0	0
5408	0	1
250	0	0
3675	0	0
2497	0	0
3202	0	1
3917	4	0
6406	0	0
2204	0	0
2259	0	0
3686	1	0
1478	0	1
2300	0	0
103	0	0
3318	0	0
2740	0	0
6037	0	0
2281	0	0
3353	0	1
4926	0	0
2031	0	0
5454	0	0
4811	0	0
973	0	0
802	0	0
6292	0	0
1695	0	0
2083	0	0
1694	0	0
5270	3	0
5042	0	0
2529	0	0
6257	0	0
5054	0	1
923	0	1
5662	0	0
1384	1	1
6327	0	0
6439	0	0
85	1	1
5784	1	1
5214	1	0
2286	2	0
1561	0	0
1169	0	0
4158	2	1
5355	0	1
1940	0	0
4908	2	1
491	0	0
890	0	0
5979	1	0
2269	0	0
2434	0	0
6163	0	0
6370	0	0
969	0	1
2840	0	0
5218	0	0
1616	1	0
2097	0	0
5032	0	0
3843	0	0
666	0	1
1334	0	0
1361	0	0
87	0	0
265	2	0
4807	0	1
1796	1	1
1543	1	0
2175	0	0
3000	0	0
3814	0	0
3731	1	0
5174	1	0
2951	1	0
859	0	0
5216	1	0
697	0	0
315	0	1
2541	1	0
3256	1	0
5155	1	0
715	0	0
3569	0	1
5553	0	0
1814	0	0
1658	0	0
2382	0	0
3480	0	0
4682	0	0
419	0	0
2257	1	0
2250	0	0
4144	0	0
5238	0	0
1373	2	0
2991	0	0
5237	0	0
1790	0	0
6454	0	0
3345	0	0
545	0	0
3713	0	0
5467	1	1
1811	0	0
6317	0	0
3106	0	0
593	0	0
864	0	0
2388	0	0
3949	0	0
4142	4	0
1984	0	1
2634	0	1
2771	0	0
919	1	0
5090	0	0
6161	1	0
1810	0	1
4114	1	0
830	0	0
6004	0	0
1102	0	0
1311	2	1
2266	0	0
1962	0	0
2833	0	0
3446	0	0
735	1	1
5692	0	0
3108	0	0
5463	0	0
5387	0	0
663	2	0
1588	0	0
454	0	1
4280	0	1
5319	0	0
5096	0	0
4946	0	0
1743	0	1
2879	0	0
3867	0	0
3865	0	0
5139	0	0
4203	0	0
6071	0	0
2069	1	1
5700	1	0
2736	0	0
4516	0	0
4034	0	0
3471	0	0
628	1	0
5386	0	0
1133	0	0
3819	0	0
221	0	0
3062	0	0
1092	0	0
5472	0	0
446	0	0
812	0	0
4370	0	0
3187	1	0
746	0	0
1827	0	0
910	0	0
3965	0	0
3283	1	0
1210	0	0
75	0	1
4861	1	1
4271	0	0
6335	0	0
5698	0	0
5420	0	0
4495	0	0
1499	0	0
5882	0	1
6320	1	0
961	0	0
4549	0	0
3748	0	0
3914	0	0
4772	0	0
2217	1	1
1309	0	0
3469	0	0
5266	0	1
1587	3	1
3273	3	0
4765	1	1
3018	0	0
548	0	0
635	0	0
4817	0	0
587	0	0
4043	0	0
2727	0	0
5606	0	0
3983	0	0
4483	0	1
4568	1	0
4651	0	0
1609	3	1
2356	1	1
3769	3	0
1634	2	0
5599	0	0
275	2	1
5276	0	0
756	0	0
5688	0	0
1357	0	0
522	0	0
2587	0	0
4905	0	0
4123	0	0
3029	0	0
2152	0	0
1989	0	0
1529	1	1
1723	0	0
6198	0	0
5471	1	1
899	0	1
6401	0	0
625	2	0
4249	2	1
4277	0	0
4442	0	0
5920	0	1
6342	0	0
3352	1	0
734	1	1
1030	0	0
4210	1	1
3626	0	0
2837	0	0
6052	0	0
5970	0	0
4452	0	0
3067	0	0
528	0	0
2520	0	0
1332	0	0
