	Unnamed: 0_x	person_id	arrest_id_x	charge_degree	offense_category	arrest_date_event	Unnamed: 0_y	arrest_id_y	age_at_arrest	sex	race	arrest_date_univ	y	current_charge_felony	num_fel_arrests_last_year
2304	2720	74677	21321954	misdemeanor	drug	2012-01-01	294	6355703	28.54520547945205	M	White	2016-12-09	0	0	0
1225	3044	41991	27815014	misdemeanor	violent	2012-01-04	563	6778366	24.93972602739726	M	White	2016-08-05	0	0	0
3059	5472	92826	20702031	misdemeanor	other	2012-01-05	746	6037598	40.84657534246576	M	Black	2017-03-07	0	0	0
3032	2619	92826	20703147	misdemeanor	property	2012-01-06	746	6037598	40.84657534246576	M	Black	2017-03-07	0	0	0
3031	2618	92826	20698498	misdemeanor	violent	2012-01-06	746	6037598	40.84657534246576	M	Black	2017-03-07	0	0	0
6134	2721	2293944	21330662	misdemeanor	property	2012-01-08	555	5847419	38.96712328767124	M	Other	2017-04-25	0	0	0
3923	2254	351751	19588028	misdemeanor	drug	2012-01-10	171	6215292	23.90410958904109	F	White	2017-01-20	0	0	0
4983	3317	1055158	28951840	felony	violent	2012-01-12	222	7157820	36.14520547945205	M	White	2016-05-06	0	1	0
2485	237	78786	11905717	misdemeanor	drug	2012-01-13	479	6645202	24.15068493150685	M	White	2016-09-12	0	0	0
1611	513	55112	13657204	misdemeanor	drug	2012-01-13	225	7200043	46.46849315068493	M	White	2016-04-23	0	0	0
3825	4615	339988	13657692	misdemeanor	other	2012-01-24	139	5998375	56.57534246575342	M		2017-03-17	0	0	0
4981	5897	1055115	28951796	misdemeanor	drug	2012-01-25	226	7371681	57.56164383561644	M	White	2016-03-09	1	0	0
3800	520	339988	13659284	misdemeanor	property	2012-01-26	139	5998375	56.57534246575342	M		2017-03-17	0	0	0
3033	2620	92826	20703358	misdemeanor	property	2012-02-01	746	6037598	40.84657534246576	M	Black	2017-03-07	0	0	0
6208	2456	2537177	20296435	misdemeanor	drug	2012-02-03	372	4751260	28.175342465753424	F	White	2017-11-27	0	0	0
1234	5327	41991	19702134	misdemeanor	other	2012-02-06	563	6778366	24.93972602739726	M	White	2016-08-05	0	0	0
1819	4616	58583	13657700	misdemeanor	other	2012-02-07	266	3982258	27.813698630136987	M	Black	2018-04-07	0	0	0
5234	3084	1111687	28253965	misdemeanor	other	2012-02-09	950	5936371	33.51780821917808	M	White	2017-04-03	0	0	0
2158	5317	69474	19587949	misdemeanor	other	2012-02-11	106	6460426	30.30958904109589	F	White	2016-11-07	0	0	0
2159	5318	69474	19588549	misdemeanor	other	2012-02-11	106	6460426	30.30958904109589	F	White	2016-11-07	0	0	0
2160	5319	69474	19588712	misdemeanor	other	2012-02-11	106	6460426	30.30958904109589	F	White	2016-11-07	0	0	0
2161	5320	69474	19589416	misdemeanor	other	2012-02-11	106	6460426	30.30958904109589	F	White	2016-11-07	0	0	0
5019	4455	1059734	27579728	misdemeanor	other	2012-02-14	308	6984750	27.78904109589041	F	Black	2016-06-04	0	0	0
3474	510	243409	13647939	misdemeanor	property	2012-02-14	639	5142809	30.34794520547945	M	Black	2017-09-21	0	0	0
4088	2877	533988	21440865	misdemeanor	drug	2012-02-15	110	6485726	27.197260273972603	M	White	2016-10-30	0	0	0
2321	2719	74726	21321938	felony	drug	2012-02-16	887	3646741	26.556164383561644	M	Black	2018-06-06	0	1	0
1612	517	55112	13657090	misdemeanor	property	2012-02-24	225	7200043	46.46849315068493	M	White	2016-04-23	0	0	0
5018	4454	1059734	27572074	misdemeanor	other	2012-02-24	308	6984750	27.78904109589041	F	Black	2016-06-04	0	0	0
1353	518	46960	13658463	felony	other	2012-02-24	99	5915304	24.994520547945207	F	White	2017-04-07	0	1	0
1349	2454	46101	20283301	felony	violent	2012-03-07	585	2788963	46.00547945205479	M	White	2018-10-29	0	1	0
2066	519	67939	13658916	misdemeanor	property	2012-03-10	707	5475688	60.42191780821918	M	Black	2017-07-21	0	0	0
1351	505	46960	13581626	misdemeanor	other	2012-03-16	99	5915304	24.994520547945207	F	White	2017-04-07	0	0	1
2037	514	66832	13658253	misdemeanor	property	2012-03-16	892	4100820	33.62465753424657	M	Black	2018-03-28	0	0	0
2038	521	66832	13659629	misdemeanor	drug	2012-03-25	892	4100820	33.62465753424657	M	Black	2018-03-28	0	0	0
5005	2962	1058804	27580500	misdemeanor	property	2012-03-25	874	6215258	38.89315068493151	M	White	2017-01-20	0	0	0
1016	2621	29538	20703532	misdemeanor	violent	2012-03-28	756	4502396	35.553424657534244	M	Black	2018-01-16	0	0	0
5049	5870	1061804	28642977	misdemeanor	other	2012-03-30	355	7382549	28.82191780821918	M	White	2016-03-07	0	0	0
5769	2876	1448386	21440843	misdemeanor	property	2012-04-09	1	5958672	44.989041095890414	M	Black	2017-03-29	0	0	0
5563	5680	1297492	27361321	misdemeanor	other	2012-04-15	33	6957590	22.775342465753425	M	White	2016-06-13	0	0	0
3824	4614	339988	13656092	misdemeanor	other	2012-04-16	139	5998375	56.57534246575342	M		2017-03-17	0	0	0
1858	2897	60742	22373985	misdemeanor	violent	2012-04-17	737	6015800	28.254794520547943	M	Black	2017-03-13	0	0	0
3827	4618	339988	13658264	misdemeanor	other	2012-04-17	139	5998375	56.57534246575342	M		2017-03-17	0	0	0
